City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Bredasdorp,ZA,2022-06-12 16:28:08,-34.5322,20.0403,66.11,36,100,9.01,overcast clouds
53,Vila Velha,BR,2022-06-12 16:28:08,-20.3297,-40.2925,75.15,85,75,12.66,broken clouds
54,Kawalu,ID,2022-06-12 16:28:08,-7.3817,108.2082,73.04,98,100,1.12,overcast clouds
55,New Norfolk,AU,2022-06-12 16:28:08,-42.7826,147.0587,40.91,84,46,3.2,scattered clouds
56,Comodoro Rivadavia,AR,2022-06-12 16:23:41,-45.8667,-67.5,62.46,22,0,13.8,clear sky
57,Dunedin,NZ,2022-06-12 16:28:09,-45.8742,170.5036,43.81,63,71,1.01,broken clouds
58,Sambava,MG,2022-06-12 16:28:09,-14.2667,50.1667,73.58,77,23,16.87,few clouds
59,Khatanga,RU,2022-06-12 16:28:09,71.9667,102.5,61.84,45,15,10.02,few clouds
60,Severo-Kurilsk,RU,2022-06-12 16:28:10,50.6789,156.125,43.34,92,68,7.74,broken clouds
61,Chuy,UY,2022-06-12 16:28:10,-33.6971,-53.4616,57.61,62,44,11.97,scattered clouds
62,Lorengau,PG,2022-06-12 16:28:10,-2.0226,147.2712,80.1,79,80,6.73,broken clouds
63,Jiangyou,CN,2022-06-12 16:28:11,31.7667,104.7167,72.91,77,100,0.76,overcast clouds
64,Hambantota,LK,2022-06-12 16:28:11,6.1241,81.1185,81.25,80,75,17.38,broken clouds
65,Burnie,AU,2022-06-12 16:28:11,-41.0667,145.9167,41.92,77,7,8.43,clear sky
66,Tawang,IN,2022-06-12 16:28:12,27.5833,91.8667,56.5,99,100,1.92,overcast clouds
67,Provideniya,RU,2022-06-12 16:28:12,64.3833,-173.3,35.04,70,27,5.44,scattered clouds
68,La Salle,US,2022-06-12 16:28:12,41.3334,-89.0918,80.24,73,0,13.8,clear sky
69,Constitucion,CL,2022-06-12 16:28:12,-35.3333,-72.4167,55.78,70,55,4.07,broken clouds
70,Vanimo,PG,2022-06-12 16:28:13,-2.6741,141.3028,77.76,87,29,4.94,scattered clouds
71,Tuktoyaktuk,CA,2022-06-12 16:28:13,69.4541,-133.0374,33.8,93,100,9.22,mist
72,Sarangani,PH,2022-06-12 16:28:13,5.4033,125.4636,83.7,72,90,10.07,overcast clouds
73,Usinsk,RU,2022-06-12 16:28:14,65.9939,57.5281,53.91,36,4,15.32,clear sky
74,Carnarvon,AU,2022-06-12 16:28:14,-24.8667,113.6333,68.34,76,47,12.93,scattered clouds
75,Santa Cruz,BO,2022-06-12 16:27:15,-17.8,-63.1667,68.05,30,0,18.41,clear sky
76,Opuwo,NA,2022-06-12 16:28:14,-18.0607,13.84,75.02,24,0,3.56,clear sky
77,Torbay,CA,2022-06-12 16:28:15,47.6666,-52.7314,69.89,65,100,9.22,overcast clouds
78,Hirara,JP,2022-06-12 16:28:15,24.8,125.2833,80.58,88,100,17.47,light rain
79,Salamanca,ES,2022-06-12 16:28:15,40.8333,-6.0,94.78,14,26,13.98,scattered clouds
80,Van,TR,2022-06-12 16:28:04,38.4924,43.3831,67.35,42,75,1.14,broken clouds
81,Hermanus,ZA,2022-06-12 16:28:16,-34.4187,19.2345,70.81,53,100,22.08,overcast clouds
82,Tasiilaq,GL,2022-06-12 16:28:16,65.6145,-37.6368,37.56,99,100,8.7,light rain
83,Smidovich,RU,2022-06-12 16:24:07,48.6,133.8167,57.13,74,83,4.83,broken clouds
84,Fare,PF,2022-06-12 16:28:16,-16.7,-151.0167,79.07,76,19,23.33,moderate rain
85,Storebo,NO,2022-06-12 16:28:17,60.0948,5.2271,55.27,92,98,1.99,overcast clouds
86,Catemaco,MX,2022-06-12 16:28:17,18.4167,-95.1167,83.05,63,99,3.38,overcast clouds
87,Aswan,EG,2022-06-12 16:28:17,24.0934,32.907,108.28,9,0,16.15,clear sky
88,Luderitz,NA,2022-06-12 16:28:18,-26.6481,15.1594,62.02,66,61,4.9,broken clouds
89,Hobart,AU,2022-06-12 16:25:51,-42.8794,147.3294,41.25,85,75,6.91,broken clouds
90,Grindavik,IS,2022-06-12 16:28:18,63.8424,-22.4338,51.75,87,100,9.22,overcast clouds
91,Roald,NO,2022-06-12 16:28:18,62.5833,6.1333,56.75,93,75,20.71,light rain
92,Butaritari,KI,2022-06-12 16:28:19,3.0707,172.7902,81.46,73,14,12.33,few clouds
93,Yeppoon,AU,2022-06-12 16:28:19,-23.1333,150.7333,46.18,66,5,6.64,clear sky
94,Hithadhoo,MV,2022-06-12 16:28:19,-0.6,73.0833,84.04,70,100,5.93,overcast clouds
95,Leh,IN,2022-06-12 16:28:19,34.1667,77.5833,51.73,62,89,7.09,overcast clouds
96,Dzerzhinskoye,RU,2022-06-12 16:28:20,56.8344,95.2283,60.69,94,79,5.19,broken clouds
97,Ndele,CF,2022-06-12 16:28:20,8.4109,20.6473,80.53,70,82,9.51,moderate rain
98,Longyearbyen,SJ,2022-06-12 16:28:20,78.2186,15.6401,39.04,75,75,2.3,broken clouds
