City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Paullo,IT,2022-06-08 19:16:43,45.4187,9.3977,70.84,86,75,6.91
60,Kulhudhuffushi,MV,2022-06-08 19:16:44,6.6221,73.07,82.67,73,100,13.94
61,Asau,RO,2022-06-08 19:16:44,46.4333,26.4,65.32,80,16,2.17
62,Union,US,2022-06-08 19:16:44,40.6334,-74.2663,86.22,44,0,12.66
63,Faanui,PF,2022-06-08 19:16:45,-16.4833,-151.75,80.62,71,0,11.01
64,Cape Town,ZA,2022-06-08 19:12:02,-33.9258,18.4232,64.11,79,100,1.99
65,Mar Del Plata,AR,2022-06-08 19:16:45,-38.0023,-57.5575,60.82,74,0,5.75
66,Saint George,US,2022-06-08 19:15:49,37.1041,-113.5841,102.63,14,0,4.61
67,Pevek,RU,2022-06-08 19:16:46,69.7008,170.3133,41.07,67,40,0.67
68,Arlit,NE,2022-06-08 19:16:46,18.7369,7.3853,94.6,9,0,14.76
69,Oppdal,NO,2022-06-08 19:16:47,62.5943,9.6912,49.75,94,100,5.28
70,Dikson,RU,2022-06-08 19:16:47,73.5069,80.5464,26.73,92,11,3.58
71,Kavieng,PG,2022-06-08 19:16:47,-2.5744,150.7967,80.94,65,5,8.34
72,Katsuura,JP,2022-06-08 19:16:48,35.1333,140.3,63.84,90,94,9.71
73,Khatanga,RU,2022-06-08 19:16:48,71.9667,102.5,43.41,81,100,9.66
74,Isangel,VU,2022-06-08 19:16:49,-19.55,169.2667,76.06,71,100,9.95
75,Longyearbyen,SJ,2022-06-08 19:16:49,78.2186,15.6401,40.84,81,75,5.75
76,Svetlogorsk,BY,2022-06-08 19:16:49,52.6333,29.7333,66.79,71,60,6.04
77,Cidreira,BR,2022-06-08 19:16:50,-30.1811,-50.2056,64.69,80,9,9.51
78,Hermanus,ZA,2022-06-08 19:16:50,-34.4187,19.2345,63.68,69,9,10.2
79,Port Alfred,ZA,2022-06-08 19:16:51,-33.5906,26.891,68.14,44,0,8.52
80,Carnarvon,AU,2022-06-08 19:16:51,-24.8667,113.6333,64.47,94,75,10.36
81,Ostrovnoy,RU,2022-06-08 19:16:51,68.0531,39.5131,55.81,57,76,13.31
82,Sao Joao Da Barra,BR,2022-06-08 19:16:52,-21.6403,-41.0511,84.29,66,60,9.13
83,Tuktoyaktuk,CA,2022-06-08 19:16:52,69.4541,-133.0374,33.8,75,100,12.66
84,Arraial Do Cabo,BR,2022-06-08 19:16:53,-22.9661,-42.0278,73.26,78,75,9.22
85,Santa Cruz De La Palma,ES,2022-06-08 19:16:53,28.6835,-17.7642,73.54,73,0,16.11
86,Bluff,NZ,2022-06-08 19:16:54,-46.6,168.3333,38.8,86,81,11.1
87,New Norfolk,AU,2022-06-08 19:16:54,-42.7826,147.0587,46.71,78,51,8.01
88,Hilo,US,2022-06-08 19:17:54,19.7297,-155.09,86.29,72,75,6.91
89,North Auburn,US,2022-06-08 19:17:55,38.9313,-121.0819,86.49,34,0,5.99
90,Westport,US,2022-06-08 19:14:04,41.1415,-73.3579,85.28,43,92,8.99
91,Wum,CM,2022-06-08 19:17:55,6.3833,10.0667,66.99,95,100,1.92
92,Kysyl-Syr,RU,2022-06-08 19:17:56,63.8986,122.7617,58.15,78,82,1.99
93,Tochimilco,MX,2022-06-08 19:17:56,18.9,-98.5667,78.08,42,95,7.23
94,Severo-Kurilsk,RU,2022-06-08 19:17:12,50.6789,156.125,42.64,81,100,6.2
95,Hasaki,JP,2022-06-08 19:17:57,35.7333,140.8333,61.29,86,98,12.55
96,Bambous Virieux,MU,2022-06-08 19:17:57,-20.3428,57.7575,73.65,78,40,3.44
97,Ongandjera,NA,2022-06-08 19:17:58,-17.8833,15.0667,63.21,34,1,8.79
98,Coihaique,CL,2022-06-08 19:17:58,-45.5752,-72.0662,43.41,61,75,3.44
99,Port Lincoln,AU,2022-06-08 19:17:58,-34.7333,135.8667,54.82,67,98,7.58
100,Tawau,MY,2022-06-08 19:17:59,4.2498,117.8871,78.93,87,94,4.29
101,Mount Isa,AU,2022-06-08 19:17:59,-20.7333,139.5,47.97,61,8,6.91
102,Praia Da Vitoria,PT,2022-06-08 19:18:00,38.7333,-27.0667,73.65,73,40,13.98
103,Cabo San Lucas,MX,2022-06-08 19:18:00,22.8909,-109.9124,83.61,57,0,9.22
104,Cayenne,GF,2022-06-08 19:18:00,4.9333,-52.3333,84.24,22,20,10.36
105,Ngunguru,NZ,2022-06-08 19:18:01,-35.6167,174.5,61.03,84,100,9.33
106,Lavrentiya,RU,2022-06-08 19:18:01,65.5833,-171.0,38.89,66,6,8.48
107,Sao Joao Del Rei,BR,2022-06-08 19:18:02,-21.1356,-44.2617,74.97,47,100,6.42
108,Lazaro Cardenas,MX,2022-06-08 19:18:02,17.9583,-102.2,85.82,58,59,11.41
109,Dire,ML,2022-06-08 19:18:02,12.2833,-10.9667,90.86,39,99,4.18
110,Hambantota,LK,2022-06-08 19:18:03,6.1241,81.1185,79.92,83,100,17.25
111,Muros,ES,2022-06-08 19:18:03,42.7762,-9.0603,69.15,84,100,2.64
112,Voh,NC,2022-06-08 19:18:03,-20.9667,164.7,69.75,95,100,7.63
113,Teguldet,RU,2022-06-08 19:18:04,57.3064,88.1667,38.39,91,6,2.75
114,Yellowknife,CA,2022-06-08 19:15:35,62.456,-114.3525,70.32,35,20,11.5
115,Cortes,ES,2022-06-08 19:18:04,41.9395,-1.4396,77.05,55,100,19.66
116,Chokurdakh,RU,2022-06-08 19:18:05,70.6333,147.9167,38.37,75,98,10.18
117,Talnakh,RU,2022-06-08 19:18:05,69.4865,88.3972,38.21,94,100,5.68
118,Ola,RU,2022-06-08 19:18:06,59.5833,151.2833,44.76,87,100,4.14
119,Blairmore,CA,2022-06-08 19:18:06,49.6,-114.4353,58.87,55,99,6.91
120,Salalah,OM,2022-06-08 19:15:36,17.0151,54.0924,84.29,74,40,3.44
121,Alta Floresta,BR,2022-06-08 19:18:07,-9.8756,-56.0861,93.02,38,40,3.44
122,Upernavik,GL,2022-06-08 19:18:07,72.7868,-56.1549,34.34,94,100,9.89
123,Kodiak,US,2022-06-08 19:18:07,57.79,-152.4072,58.51,55,40,9.22
124,San Patricio,US,2022-06-08 19:18:08,28.017,-97.5169,95.72,35,8,17.13
125,Ilo,PE,2022-06-08 19:18:08,-17.6394,-71.3375,63.46,82,100,5.75
126,Tocopilla,CL,2022-06-08 19:18:09,-22.092,-70.1979,65.91,64,6,8.21
127,Mount Gambier,AU,2022-06-08 19:18:09,-37.8333,140.7667,48.11,93,75,10.36
128,Lompoc,US,2022-06-08 19:14:55,34.6391,-120.4579,89.78,57,0,25.01
129,Esperance,AU,2022-06-08 19:18:10,-33.8667,121.9,51.06,84,6,12.75
130,Laubach,DE,2022-06-08 19:18:10,50.542,8.9903,60.4,91,100,9.6
131,Deputatskiy,RU,2022-06-08 19:18:10,69.3,139.9,37.11,58,0,11.74
132,Vila Do Maio,CV,2022-06-08 19:18:11,15.1333,-23.2167,77.79,87,14,6.13
133,Xihe,CN,2022-06-08 19:18:11,31.6864,113.4659,73.94,67,1,2.3
134,Lagoa,PT,2022-06-08 19:19:12,39.05,-27.9833,65.08,87,10,23.24
135,Touros,BR,2022-06-08 19:19:12,-5.1989,-35.4608,81.55,73,10,11.03
136,Lamar,US,2022-06-08 19:19:12,33.6668,-95.5836,76.91,94,100,6.91
137,Kharabali,RU,2022-06-08 19:19:13,47.4196,47.2568,69.55,38,1,7.76
138,Kavali,IN,2022-06-08 19:19:13,14.9167,79.9833,94.01,46,90,11.36
139,Ribeira Grande,PT,2022-06-08 19:19:13,38.5167,-28.7,68.4,88,40,6.91
140,Muravlenko,RU,2022-06-08 19:19:14,63.7898,74.523,56.07,49,100,8.68
141,Strelka,RU,2022-06-08 19:19:14,58.0728,93.0344,41.23,97,16,1.83
142,Khor,RU,2022-06-08 19:19:15,47.8861,134.9464,57.02,98,100,2.68
143,Saldanha,ZA,2022-06-08 19:19:15,-33.0117,17.9442,63.34,87,100,3.18
144,Prata,BR,2022-06-08 19:19:15,-19.3072,-48.9242,83.89,35,100,7.4
145,Abucay,PH,2022-06-08 19:19:16,14.7667,120.4833,80.85,81,100,1.79
146,Valdemarpils,LV,2022-06-08 19:19:16,57.3707,22.5919,57.67,96,100,2.86
147,Nouadhibou,MR,2022-06-08 19:19:17,20.931,-17.0347,71.58,73,100,9.22
148,Marietta,US,2022-06-08 19:19:17,33.9526,-84.5499,84.94,69,75,10.36
149,Sur,OM,2022-06-08 19:19:18,22.5667,59.5289,86.5,66,0,15.17
150,Lincoln,US,2022-06-08 19:15:02,40.8,-96.667,77.29,53,20,13.8
151,Jacareacanga,BR,2022-06-08 19:19:18,-6.2222,-57.7528,85.06,62,100,2.37
152,Nagapattinam,IN,2022-06-08 19:19:18,10.7667,79.8333,82.71,81,100,17.31
153,Bethel,US,2022-06-08 19:19:19,41.3712,-73.414,82.94,44,0,8.05
154,Tete,MZ,2022-06-08 19:19:19,-16.1564,33.5867,66.29,100,75,0.0
155,Birao,CF,2022-06-08 19:19:20,10.2849,22.7882,75.04,77,100,11.23
156,Payo,ID,2022-06-08 19:19:20,-3.7508,103.6372,72.16,98,100,1.3
157,Cascais,PT,2022-06-08 19:19:21,38.6979,-9.4215,73.62,77,75,17.27
158,Karratha,AU,2022-06-08 19:19:21,-20.7377,116.8463,72.25,49,100,10.78
159,Muleba,TZ,2022-06-08 19:19:21,-1.8397,31.6544,69.71,62,100,3.09
160,Tasiilaq,GL,2022-06-08 19:19:22,65.6145,-37.6368,42.96,75,10,3.04
161,Cap-Aux-Meules,CA,2022-06-08 19:19:22,47.3821,-61.8597,57.25,58,100,9.22
162,Xining,CN,2022-06-08 19:19:22,36.6167,101.7667,49.42,87,100,2.08
163,Itapirapua,BR,2022-06-08 19:19:23,-15.8233,-50.6133,91.92,26,99,3.71
164,Puerto Del Rosario,ES,2022-06-08 19:19:23,28.5004,-13.8627,73.15,83,20,19.57
165,Waren,DE,2022-06-08 19:19:24,53.5167,12.6833,61.84,81,87,4.61
166,Rongcheng,CN,2022-06-08 19:19:24,30.634,117.8517,71.31,70,100,3.56
167,Severnoye,RU,2022-06-08 19:19:24,56.3491,78.3619,56.08,62,100,13.87
168,Sambava,MG,2022-06-08 19:19:25,-14.2667,50.1667,72.41,84,3,13.8
169,Sovetskiy,RU,2022-06-08 19:19:25,61.3614,63.5842,52.3,88,89,11.61
170,Alofi,NU,2022-06-08 19:19:26,-19.0595,-169.9187,73.29,83,18,5.75
171,Corning,US,2022-06-08 19:19:26,42.1428,-77.0547,75.24,52,75,6.91
172,Aklavik,CA,2022-06-08 19:19:26,68.2191,-135.0107,36.09,78,100,11.99
173,Tiksi,RU,2022-06-08 19:19:27,71.6872,128.8694,40.39,70,8,6.35
174,Jalu,LY,2022-06-08 19:19:27,29.0331,21.5482,89.31,25,0,15.68
175,Hamilton,US,2022-06-08 19:19:28,39.1834,-84.5333,84.25,71,48,9.08
176,New Glasgow,CA,2022-06-08 19:19:28,45.5834,-62.6486,62.38,63,100,11.16
177,Seka,TH,2022-06-08 19:19:28,17.9285,103.9552,74.34,93,99,3.33
178,Kruisfontein,ZA,2022-06-08 19:19:29,-34.0033,24.7314,62.89,33,0,10.0
179,Klaksvik,FO,2022-06-08 19:19:29,62.2266,-6.589,52.72,74,39,21.25
180,Morehead,US,2022-06-08 19:19:30,37.2711,-87.1764,85.86,68,40,17.27
181,Singaparna,ID,2022-06-08 19:19:30,-7.3515,108.111,71.11,97,89,0.29
182,Nanortalik,GL,2022-06-08 19:20:30,60.1432,-45.2371,39.7,82,70,1.99
183,Viru,PE,2022-06-08 19:20:31,-8.4167,-78.75,74.1,61,14,10.92
184,Shelburne,CA,2022-06-08 19:20:31,44.0787,-80.2041,70.9,62,99,2.33
185,Georgetown,MY,2022-06-08 19:20:32,5.4112,100.3354,82.33,93,20,5.75
186,Hualmay,PE,2022-06-08 19:20:32,-11.0964,-77.6139,68.04,75,49,9.84
187,Aruppukkottai,IN,2022-06-08 19:20:32,9.5167,78.1,85.37,57,98,4.47
188,Urbano Santos,BR,2022-06-08 19:20:33,-3.2078,-43.4036,81.54,79,52,5.3
189,Bonavista,CA,2022-06-08 19:20:33,48.6499,-53.1147,43.0,67,0,10.71
190,Sept-Iles,CA,2022-06-08 19:18:54,50.2001,-66.3821,50.52,93,100,18.41
191,Yuci,CN,2022-06-08 19:20:34,37.6803,112.7319,65.95,59,0,13.42
192,Bengkulu,ID,2022-06-08 19:20:34,-3.8004,102.2655,74.89,92,100,4.65
193,Sistranda,NO,2022-06-08 19:20:34,63.7256,8.834,49.96,73,100,24.45
194,Pombia,IT,2022-06-08 19:20:35,45.653,8.6336,68.41,73,93,3.0
195,Krasnyye Tkachi,RU,2022-06-08 19:20:35,57.4926,39.7563,53.42,73,8,5.03
196,Airai,TL,2022-06-08 19:20:35,-8.9266,125.4092,59.63,96,69,3.02
197,Jalalabad,AF,2022-06-08 19:20:36,34.4265,70.4515,84.38,17,36,1.3
198,Folldal,NO,2022-06-08 19:20:36,62.1325,9.9968,50.67,84,100,6.42
199,Mayo,US,2022-06-08 19:20:37,38.8876,-76.5119,90.18,67,0,9.22
200,Geraldton,AU,2022-06-08 19:20:37,-28.7667,114.6,63.01,94,100,2.3
201,Otacilio Costa,BR,2022-06-08 19:20:37,-27.4831,-50.1219,58.39,88,64,2.8
202,Tiznit,MA,2022-06-08 19:20:38,29.5833,-9.5,77.65,42,0,5.57
203,Tezu,IN,2022-06-08 19:20:38,27.9167,96.1667,75.76,88,100,1.48
204,Haines Junction,CA,2022-06-08 19:20:39,60.7522,-137.5108,62.55,36,100,4.61
205,Batagay,RU,2022-06-08 19:20:39,67.6333,134.6333,50.11,45,95,5.21
206,Vardo,NO,2022-06-08 19:20:39,70.3705,31.1107,46.38,81,0,0.0
207,Tagusao,PH,2022-06-08 19:20:40,9.1924,117.8141,80.04,83,97,4.54
208,Odweyne,SO,2022-06-08 19:20:40,9.4092,45.064,76.15,50,97,11.63
209,Tougue,GN,2022-06-08 19:20:40,11.4667,-11.6,76.96,61,77,2.06
210,Manhush,UA,2022-06-08 19:20:41,47.0558,37.3107,69.37,60,76,10.38
211,Muroto,JP,2022-06-08 19:20:41,33.2833,134.15,68.45,80,0,8.48
212,Port Hedland,AU,2022-06-08 19:19:25,-20.3167,118.5667,71.65,53,100,9.22
213,Armacao De Pera,PT,2022-06-08 19:20:42,37.1026,-8.357,84.11,55,86,15.37
214,Funadhoo,MV,2022-06-08 19:20:42,6.15,73.2667,82.67,74,98,13.58
215,La Ronge,CA,2022-06-08 19:20:43,55.1001,-105.2842,73.62,23,20,6.91
216,Terrace,CA,2022-06-08 19:20:43,54.5163,-128.6035,62.51,72,75,6.91
217,Murgab,TM,2022-06-08 19:20:43,37.4966,61.9714,84.07,32,0,0.0
218,Visnes,NO,2022-06-08 19:20:44,59.3556,5.2242,53.65,82,100,5.75
219,Praya,CV,2022-06-08 19:20:44,14.9215,-23.5087,77.54,73,75,14.97
220,Tilichiki,RU,2022-06-08 19:20:45,60.4667,166.1,43.11,82,91,1.77
221,Belaya Gora,RU,2022-06-08 19:20:45,68.5333,146.4167,44.42,51,36,9.51
222,Punta Alta,AR,2022-06-08 19:20:45,-38.8759,-62.0736,61.9,50,8,10.42
223,Yenagoa,NG,2022-06-08 19:20:46,4.9247,6.2642,75.63,92,100,5.75
