City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Moultrie,US,87.08,clear sky,31.1799,-83.7891,Moultrie Inn
468,Murgab,TM,84.07,broken clouds,37.4966,61.9714,Wepa Nurlyýew
472,Portobelo,PA,81.95,overcast clouds,9.55,-79.65,Scuba Portobelo
473,Lazaro Cardenas,MX,88.23,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
478,Shieli,KZ,79.09,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
481,Banda Aceh,ID,80.35,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
484,Guatire,VE,86.68,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
485,Korla,CN,86.05,few clouds,41.7597,86.1469,Gulisitan Hotel
486,Kodinar,IN,83.25,broken clouds,20.7903,70.7031,residency of N.B vadhel
492,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
500,Elizabeth City,US,89.01,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
503,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
511,Eydhafushi,MV,83.61,overcast clouds,5.1033,73.0708,Soneva Fushi
512,Pandhurna,IN,89.4,broken clouds,21.6,78.5167,Hotel Aditya Residency
514,Radebeul,DE,82.92,clear sky,51.1065,13.6605,Hotel Villa Weltemühle
515,Artyom,AZ,75.34,overcast clouds,40.4723,50.333,Pir hos
516,Ternate,ID,80.29,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
520,Plattsburgh,US,80.37,clear sky,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
522,Iralaya,HN,79.86,overcast clouds,15.0,-83.2333,Iglesia morava renovada
524,Changji,CN,88.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
525,Gizo,SB,81.28,few clouds,-8.103,156.8419,Imagination Island
526,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
527,Hamilton,US,82.65,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
528,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
531,Ratnagiri,IN,80.47,broken clouds,16.9833,73.3,Hotel Landmark
